frame_id,total_latency(μs),algorithm_latency(μs)
0,1382326,933648
1,741517,736163
2,774771,769293
3,580870,575510
4,645349,639605
5,763167,757738
6,1135045,1129559
7,585983,580560
8,1071792,1066360
9,815173,809751
10,884059,878643
11,1005359,999478
12,1133005,1127579
13,1334472,1329043
14,1032679,998337
15,1219276,1212996
16,1054834,988170
17,1285882,1280077
18,1344820,1237425
19,1278615,1196344
20,1264105,1258316
21,1183684,1178255
22,1200660,1139355
23,1184251,1178788
24,1169639,1164199
25,859521,835301
26,388012,378000
27,538698,534796
28,519251,515316
29,482800,479356
30,474113,471072
31,490902,487849
32,498202,494813
33,492202,488791
34,485762,482690
35,485519,482179
36,489125,486126
37,481714,478614
38,475205,472199
39,476868,473871
40,477355,474392
41,479881,476792
42,477175,474195
43,482017,478585
44,480716,477526
45,483514,480518
46,481693,478342
47,483097,479786
48,485875,482034
49,483102,480107
50,484251,480848
51,485422,482406
52,483846,480388
53,485339,482302
54,485488,482132
55,487702,484692
56,483324,479882
57,485905,482517
58,484655,481303
59,486320,482979
60,484905,481575
61,486809,483789
62,486304,483296
63,488342,484979
64,487596,484257
65,485384,482057
66,486990,483286
67,486722,483748
68,485416,482073
69,485717,482386
70,487499,484096
71,485360,482049
72,486410,483081
73,486382,483403
74,484530,481544
75,485232,481899
76,486081,483008
77,487530,484192
78,484035,481042
79,483169,479814
80,489560,485762
81,481866,478523
82,485394,482058
83,483470,479967
84,486874,483574
85,484070,481100
86,485236,481953
87,484699,481392
88,485007,482004
89,486743,483734
90,485260,482154
91,485246,481455
92,485399,482057
93,485059,482091
94,486909,483828
95,483121,479811
96,486585,483473
97,483653,480674
98,486198,483197
99,485997,483023
100,484702,481630
101,483422,479792
102,500401,497379
103,498418,494727
104,502575,499215
105,495707,491488
106,486702,483361
107,486231,482874
108,485257,481906
109,480886,477375
110,483957,480621
111,481716,478212
112,482007,479017
113,483051,480093
114,487742,484763
115,484286,480891
116,483749,480515
117,481010,477902
118,483351,480379
119,482260,479250
120,480446,477360
121,484022,480950
122,479689,476591
123,483777,480515
124,482854,479591
125,483272,480189
126,484549,481457
127,482565,479418
128,482228,479248
129,483648,480606
130,481987,478802
131,483764,480701
132,482627,479604
133,482022,478176
134,482651,479253
135,485694,482667
136,480086,477058
137,483200,479838
138,487065,483948
139,483112,479695
140,483161,479810
141,482922,479299
142,484027,480584
143,484114,480382
144,487190,483686
145,499170,494273
146,481963,478419
147,481672,478298
148,483530,480374
149,480099,476955
150,481214,478176
151,483286,479508
152,480836,477816
153,480614,477572
154,481947,478929
155,480116,477063
156,480459,477432
157,480143,476918
158,481447,478403
159,480256,477250
160,481340,478309
161,477590,474049
162,480596,477538
163,478443,475420
164,481631,478504
165,479216,476221
166,479098,475945
167,479891,476867
168,478898,475866
169,480371,477251
170,475780,472784
171,481036,478050
172,477325,473798
173,480004,476727
174,476349,473333
175,479249,475926
176,476406,473409
177,478599,475015
178,479396,476186
179,478458,475471
180,478730,475746
181,477492,474495
182,477863,474905
183,479782,476815
184,476790,473809
185,477309,474200
186,478354,475337
187,478827,475796
188,476388,473415
189,478576,475362
190,475894,472916
191,477432,474420
192,476134,473150
193,476722,473691
194,474644,471318
195,478882,475829
196,476346,473325
197,474169,471185
198,479079,476064
199,473485,470156
200,477011,473966
201,479630,476512
202,476397,473389
203,473635,470575
204,418427,415097
205,420631,416897
206,477270,474060
207,474724,471171
208,475606,472245
209,476447,473199
210,474375,471089
211,476497,473206
212,477660,474012
213,476552,473268
214,417572,414122
215,416119,413094
216,421943,418648
217,418118,415000
218,416565,413284
219,417710,413760
220,422218,419118
221,423858,420142
222,418393,415116
223,418548,415414
224,416565,413201
225,418943,415510
226,415651,412595
227,417868,414757
228,415409,412348
229,418215,415147
230,415725,412669
231,416925,413844
232,418109,414680
233,427498,424436
234,430500,427038
235,428122,424936
236,428908,425347
237,413950,410314
238,416338,412949
239,415461,411569
240,415975,412948
241,414149,410767
242,416969,413563
243,415056,412013
244,415739,412653
245,414282,411226
246,415276,412212
247,413774,410719
248,354902,351749
249,355450,352274
250,357141,354076
251,412931,409918
252,413650,410158
253,412515,409512
254,412830,409737
255,414440,411394
256,412912,409786
257,414002,410955
258,413077,409998
259,354531,351525
260,355124,352144
261,355781,352787
262,356181,353168
263,354148,351146
264,356274,353267
265,354841,351837
266,356739,353698
267,1421688,312699
268,358656,355682
269,354726,351364
270,355579,352635
271,359011,355958
272,353556,350609
273,357386,354469
274,355183,352232
