frame_id,total_latency(μs),algorithm_latency(μs)
0,14246,75
1,818,102
2,664,52
3,383,38
4,649,71
5,425,35
6,483,97
7,393,48
8,521,49
9,1091,74
10,566,31
11,690,52
12,367,31
13,406,78
14,364,37
15,366,43
16,494,77
17,485,112
18,690,64
19,815,65
20,976,136
21,978,46
22,539,49
23,606,49
24,720,53
25,436,82
26,1073,88
27,673,43
28,400,43
29,564,54
30,494,83
31,884,47
32,593,80
33,511,77
34,898,140
35,32913,69
36,101496,86
37,101575,115
38,101318,86
39,99909,82
40,98981,113
41,99859,151
42,102134,88
43,97623,198
44,103192,153
45,96346,138
46,101781,75
47,102886,67
48,98300,140
49,98902,97
50,101696,95
51,98975,48
52,100646,180
53,104461,55
54,63931,105
55,101612,59
56,98285,67
57,100322,53
58,99204,78
59,100017,71
60,101823,95
61,97194,78
62,127499,158
63,76698,85
64,99636,83
65,97102,58
66,105814,156
67,93696,68
68,105008,67
69,102529,121
70,98291,123
71,97656,48
72,102168,78
73,97462,49
74,102742,42
75,97440,113
76,104985,82
77,97279,150
78,99975,77
79,98652,74
80,101860,130
81,101459,104
82,95292,100
83,100034,62
84,104355,110
85,99250,53
86,100678,75
87,1035408,170
88,385,66
89,506,118
90,379,54
91,890,131
92,711,55
93,371,36
94,392,45
