frame_id,total_latency(μs),algorithm_latency(μs)
0,196686,192105
1,203214,202831
2,204635,204230
3,203326,202979
4,203733,203328
5,203456,203048
6,204883,204485
7,203644,203278
8,203578,203216
9,203784,203392
10,203530,203127
11,203609,203212
12,203839,203389
13,203654,203261
14,202927,202550
15,222733,222381
16,188625,188206
17,213102,212681
18,198672,198242
19,203290,202881
20,203390,203016
21,205572,205164
22,201493,201059
23,203842,203462
24,206009,205598
25,254615,254224
26,253700,253295
27,254163,253779
28,254479,254027
29,254892,254490
30,254653,254249
31,254950,254542
32,254052,253676
33,254800,254430
34,274459,274002
35,238869,238424
36,254615,254190
37,254267,253876
38,263359,262938
39,249975,249523
40,254633,254240
41,253839,253456
42,254214,253798
43,255033,254608
44,254886,254505
45,306310,305899
46,305251,304700
47,305229,304836
48,305265,304846
49,311353,310929
50,304448,303972
51,305310,304886
52,305254,304851
53,305668,305279
54,305131,304738
55,305504,305103
56,310173,309761
57,304979,304593
58,305757,305369
59,305827,305442
60,306068,305663
61,356443,356024
62,362714,362306
63,354218,353729
64,356536,356133
65,355527,355076
66,356978,356604
67,356702,356303
68,356603,356196
69,357449,356995
70,365443,365042
71,351265,350836
72,356339,355918
73,360817,360432
74,355899,355483
75,358579,358154
76,407413,407037
77,406268,405850
78,407524,407117
79,407317,406724
80,407809,407377
81,407785,407362
82,406864,406443
83,419633,419224
84,406416,405980
85,407142,406754
86,408095,407691
87,406825,406408
88,408079,407677
89,407814,407380
90,407973,407585
91,407778,407358
92,407424,407026
93,430036,429519
94,389539,389065
95,408170,407707
96,410715,410120
97,407102,406698
98,407146,406699
99,408680,408260
100,406713,406285
101,406324,405821
102,407360,406966
103,407411,407016
104,429975,429575
105,388917,388441
106,408853,408449
107,406365,405920
108,411900,411499
109,406516,406117
110,406990,406600
111,407513,407121
112,408320,407896
113,407650,407246
114,406569,406130
115,408401,407939
116,412186,411769
117,407347,406923
118,407476,407077
119,407615,407223
120,412139,411708
121,406770,406360
122,406684,406194
123,407881,407484
124,407714,407322
125,408111,407739
126,412202,411788
127,407181,406772
128,407459,406924
129,407734,407332
130,406972,406567
131,408372,407968
132,412338,411914
133,406787,406305
134,407070,406684
135,407477,407086
136,413018,412588
137,407719,407311
138,407812,407404
139,407907,407488
140,407206,406789
141,408011,407630
142,407579,407154
143,407776,407360
144,407449,407056
145,411348,410870
146,412339,411925
147,406450,406088
148,407745,407332
149,407603,407139
150,407509,407102
151,407747,407348
152,406835,406369
153,407987,407608
154,407058,406618
155,426009,425579
156,392746,392286
157,411277,410875
158,406939,406539
159,407413,407014
160,408776,408380
161,406262,405772
162,407286,406895
163,407988,407599
164,407433,407018
165,412798,412397
166,406702,406272
167,407873,407485
168,407501,407091
169,411146,410728
170,406555,406094
171,408217,407829
172,408006,407616
173,408045,407625
174,407345,406963
175,413419,413012
176,405882,405430
177,406939,406515
178,407776,407392
179,408502,408081
180,405788,405343
181,412853,412412
182,405948,405475
183,408030,407634
184,407002,406603
185,411809,411402
186,407595,407189
187,407873,407434
188,408132,407746
189,406938,406524
190,407487,407093
191,407095,406703
192,409218,408832
193,405639,405178
194,411852,411399
195,411563,411127
196,408008,407623
197,407788,407390
198,407521,407126
199,407085,406687
200,407931,407531
201,407355,406951
202,407805,407415
203,408102,407718
204,412433,412017
205,407288,406882
206,411280,410901
207,408103,407720
208,408275,407897
209,407743,407325
210,407335,406932
211,407508,407106
212,407678,407259
213,407589,407152
214,411848,411424
215,407432,406949
216,407553,407179
217,408497,408121
218,411002,410611
219,408255,407839
220,406011,405539
221,407689,407289
222,407989,407579
223,427461,427043
224,392250,391822
225,407929,407539
226,406742,406334
227,416550,416112
228,407562,407104
229,407080,406639
230,413667,413257
231,407590,407033
232,409180,408775
233,405217,404802
234,411997,411633
235,409968,409598
236,405802,405348
237,408065,407673
238,408859,408469
239,406130,405658
240,407775,407341
241,407150,406749
242,412949,412575
243,407530,406428
244,411795,411363
245,407914,407516
246,408529,408149
247,407722,407355
248,407223,406848
249,407369,406979
250,408539,408135
251,408372,407980
252,408384,407995
253,405830,405466
254,413627,413256
255,410346,409885
256,407534,407139
257,407536,407115
258,408621,408207
259,408313,407950
260,407204,406775
261,407729,407314
262,408590,408176
263,407434,407015
264,407352,406961
265,413778,413326
266,406234,405766
267,413849,413467
268,406692,406286
269,408607,408188
270,407432,407051
271,408059,407671
