frame_id,total_latency(μs),algorithm_latency(μs)
0,235082,222731
1,111647,111173
2,103348,102956
3,99470,99084
4,99057,98659
5,99592,99251
6,99193,98854
7,98501,98157
8,98901,98582
9,100886,100576
10,99232,98892
11,98614,98271
12,99618,99300
13,99419,99095
14,99064,98754
15,100538,100227
16,98029,97680
17,98559,98197
18,97998,97680
19,97574,97223
20,99012,98669
21,98395,98036
22,97214,96893
23,99444,99063
24,101192,100855
25,98864,98521
26,98221,97903
27,97652,97338
28,97573,97233
29,97607,97280
30,99159,98834
31,97592,97253
32,100094,99754
33,98373,98055
34,97631,97254
35,100203,99818
36,99295,98884
37,98171,97846
38,97961,97614
39,97834,97502
40,99830,99512
41,98191,97848
42,97654,97341
43,98283,97915
44,99798,99353
45,99773,99419
46,98972,98618
47,99031,98713
48,99421,99054
49,103331,103011
50,102695,102304
51,102465,102015
52,102497,102001
53,103193,102790
54,102227,101760
55,102809,102429
56,102175,101809
57,101994,101586
58,103381,102999
59,102300,101861
60,102311,101878
61,106980,106551
62,121817,121394
63,101551,101135
64,102868,102477
65,102315,101957
66,101978,101589
67,102252,101843
68,103132,102633
69,101771,101369
70,102771,102402
71,102299,101908
72,102572,102165
73,102232,101826
74,102370,101606
75,102289,101888
76,102077,101600
77,103546,103175
78,101712,101364
79,102785,102414
80,102368,101939
81,102899,102441
82,103011,102634
83,102424,102009
84,106791,106319
85,108768,108335
86,102645,102270
87,102947,102588
88,102180,101775
89,102404,102011
90,102106,101694
91,102532,102130
92,101182,100760
93,102964,102559
94,102093,101648
95,102215,101815
96,101969,101549
97,106032,105594
98,159111,158724
99,150950,150475
100,152727,152325
101,153028,152635
102,153207,152789
103,152625,152212
104,153283,152905
105,152545,152078
106,152304,151913
107,153502,153064
108,153633,153213
109,152972,152577
110,152025,151639
111,152715,152333
112,152696,152278
113,152672,152280
114,154787,154368
115,151475,151006
116,153202,152778
117,152624,152216
118,153079,152685
119,152887,152489
120,152855,152456
121,158330,157938
122,152144,151667
123,153883,153494
124,151587,151133
125,152923,152510
126,158733,158297
127,151822,151291
128,153017,152580
129,151693,151267
130,154646,154256
131,203747,203352
132,203203,202798
133,203800,203413
134,203708,203293
135,204230,203817
136,203863,203469
137,203612,203149
138,204342,203954
139,203665,203241
140,205207,204800
141,201632,201248
142,204218,203830
143,204242,203848
144,202452,202000
145,203577,203180
146,209273,208880
147,202688,202140
148,209151,208753
149,202189,201719
150,203409,203020
151,204589,204094
152,204295,203911
153,201776,201391
154,203866,203457
155,205796,205386
156,253561,253130
157,254228,253808
158,254594,254208
159,254371,253986
160,255385,255001
161,253620,253225
162,255136,254730
163,254975,254550
164,254360,253979
165,259018,258632
166,254782,254358
167,253695,253271
168,254695,254302
169,259749,259362
170,253311,252917
171,254047,253658
172,254747,254338
173,254043,253609
174,256266,255876
175,305133,304755
176,305523,305121
177,305260,304851
178,305360,304978
179,305310,304894
180,310189,309794
181,305771,305377
182,305216,304754
183,305215,304807
184,306232,305789
185,304421,304002
186,310986,310594
187,304048,303566
188,305792,305397
189,306887,306490
190,304066,303680
191,306632,306237
192,357101,356712
193,360277,359897
194,356369,355925
195,355959,355563
196,356574,356135
197,356485,356057
198,356290,355845
199,356297,355902
200,357224,356816
201,362348,361961
202,354744,354303
203,356623,356220
204,360346,359930
205,358620,358229
206,407266,406763
207,407077,406665
208,406521,406094
209,408468,408072
210,406636,406218
211,407904,407516
212,407369,406967
213,407761,407333
214,418143,417706
215,407357,406951
216,407453,407059
217,407732,407267
218,408522,408102
219,407316,406917
220,407449,407031
221,407957,407523
222,407703,407275
223,407820,407383
224,411243,410773
225,407277,406848
226,412228,411818
227,407019,406601
228,406933,406532
229,407064,406652
230,408374,407969
231,406457,406052
232,407156,406761
233,407017,406612
234,407872,407495
235,411144,410704
236,409048,408649
237,405796,405280
238,412904,412509
239,406103,405616
240,406833,406373
241,407827,407423
242,408158,407778
243,406657,406197
244,407815,407372
245,407241,406847
246,408459,408064
247,411834,411400
248,407550,407159
249,407586,407185
250,407359,406938
251,411443,410994
252,407033,406605
253,407245,406849
254,407281,406874
255,407824,407402
256,429580,429138
257,390740,390287
258,406946,406494
259,408255,407876
260,406938,406551
261,407548,407132
262,408222,407756
263,411606,411221
264,406985,406549
265,407438,407043
266,415018,414620
267,405489,405036
268,408075,407664
269,407853,407445
270,407220,406826
271,407728,407312
272,408025,407645
273,407276,406869
274,407993,407570
275,412107,411680
276,412497,412052
277,405510,405049
278,407382,406990
279,407722,407322
280,406947,406557
281,407467,407037
282,407959,407548
283,408013,407615
284,406837,406445
285,407272,406867
286,411486,411082
287,412545,412145
288,406240,405760
289,406612,406214
290,407458,407068
291,407712,407316
292,407573,407178
293,406949,406561
294,407990,407598
295,408088,407657
296,411465,411029
297,408103,407729
298,407517,407122
299,406337,405929
300,411398,410952
301,407620,407241
302,408766,408383
303,407526,407140
304,408155,407764
305,406522,406166
306,411729,411338
307,407858,407469
308,407125,406740
309,407498,407098
310,407111,406701
311,407555,407163
312,412069,411640
313,406351,405948
314,407889,407462
315,428771,428378
316,390413,389952
317,407709,407269
318,407953,407543
319,407404,407018
320,407191,406783
321,407365,406953
322,407532,407132
323,407643,407227
324,411544,411110
325,411652,411210
326,407315,406876
327,407961,407569
328,408127,407733
329,406417,406028
330,408313,407909
331,406906,406484
332,407703,407281
333,408234,407833
334,408046,407654
335,413978,413574
336,410154,409683
337,406801,406368
338,407805,407408
339,407995,407584
340,407673,407277
341,407475,407048
342,407727,407308
343,407731,407279
344,413424,413046
345,405429,404944
346,408946,408488
347,406976,406548
348,408183,407798
349,410658,410058
350,406917,406517
351,407528,407127
352,408653,408261
353,407940,407528
354,411468,411033
355,409094,408710
356,405413,405038
357,412530,412117
358,411953,411499
359,407472,406961
360,406776,406383
361,412667,412240
362,408895,408490
363,406553,406132
364,412448,412056
365,407464,407060
366,407694,407281
367,407074,406669
368,409177,408750
369,406814,406334
370,407229,406831
371,407380,406965
372,408260,407869
373,413210,412811
374,411803,411402
375,407487,407065
376,410943,410499
377,404427,403970
378,408207,407783
379,407058,406621
380,408707,408311
381,408154,407759
382,408364,407968
383,407145,406731
384,407765,407339
385,416959,416561
386,405959,405497
387,408049,407649
388,407909,407483
389,408290,407892
390,407407,407025
391,408374,407958
392,407094,406663
393,407806,407424
394,407921,407529
395,407935,407494
396,414779,414380
397,412111,411685
398,406200,405707
399,407580,407184
400,408036,407583
401,408517,408114
402,407388,406912
403,407044,406634
404,407880,407493
405,416886,416493
406,405826,405427
407,409083,408685
408,406203,405817
409,408247,407855
410,412085,411672
411,413369,412958
412,407834,407410
413,409532,409132
414,407123,406720
415,410408,409965
416,408894,408474
417,409496,409107
418,409157,408741
419,415728,415316
420,407442,407036
421,407684,407296
422,412241,411870
423,407832,407391
424,408558,408038
425,407433,407022
426,407196,406763
427,407814,407420
428,408550,408177
429,415500,415073
430,404432,403985
431,408169,407781
432,407393,406960
433,408568,408178
434,413532,413090
435,406625,406226
436,407918,407496
437,408377,407941
438,409799,409417
439,414166,413736
440,407601,407145
441,408594,408200
442,408825,408425
443,407902,407513
444,408064,407657
445,409017,408579
446,415898,415503
447,405656,405177
448,409421,408985
449,408209,407786
450,413157,412741
451,408541,408046
452,409787,409380
453,409333,408865
454,410007,409559
455,409221,408792
456,409313,408843
457,409300,408846
458,409853,409414
459,414600,414138
460,409381,408927
461,413968,413534
462,410704,410233
463,411182,410743
464,407340,406918
465,410068,409566
466,409481,409010
467,410850,410390
468,410843,410398
469,411182,410739
470,412703,412261
471,420326,419900
472,411764,411327
473,411820,411226
474,412341,411949
475,410851,410425
476,411189,410646
477,411768,411313
478,412728,412273
479,410912,410522
480,412645,412231
481,411510,411125
482,417238,416798
483,417385,416926
484,412470,412043
485,412114,411685
486,413880,413461
487,411978,411580
488,413477,413016
489,414251,413824
490,412804,412382
491,413491,413073
492,418218,417796
493,413106,412676
494,413951,413430
495,418248,417820
496,413415,412989
497,412952,412545
498,415125,414698
499,412476,412052
500,414092,413669
501,419568,419137
502,413917,413443
503,414965,414567
504,414911,414490
505,414108,413668
506,415295,414864
507,420376,419959
508,414638,414194
509,414862,414441
510,416855,416409
511,434485,434048
512,400815,400356
513,416728,416300
514,416612,416178
515,416642,416201
516,416068,415645
517,416983,416560
518,415708,415277
519,421927,421524
520,416180,415739
521,422854,422417
522,418807,418356
523,419422,418577
524,418486,418054
525,418295,417848
526,418213,417722
527,416566,416113
528,417992,417546
529,418712,418236
530,416422,415959
531,421469,421027
532,421370,420923
533,418181,417746
534,419692,419241
535,417772,417323
536,418888,418427
537,419634,419170
538,419770,419327
539,419638,419184
540,419626,419188
541,419695,419256
542,426343,425941
543,425817,425347
544,419680,419210
545,421113,420658
546,421241,420783
547,420953,420506
548,419750,419284
549,421654,421213
550,421825,421392
551,421003,420563
552,426631,426186
553,421076,420646
554,421261,420810
555,425298,424849
556,422246,421810
557,421475,421019
558,422531,422091
559,421075,420598
560,422153,421717
561,448414,447984
562,401635,401175
563,423915,423463
564,421969,421516
565,422763,422333
566,423728,423255
567,425173,424677
568,422764,422314
569,422340,421951
570,423504,423034
571,424331,423880
572,430853,430423
573,423857,423413
574,424555,424099
575,423529,423077
576,425820,425357
577,424232,423806
578,430275,429800
579,424948,424452
580,427964,427513
581,422787,422325
582,432963,432528
583,425726,425240
584,425830,425380
585,429562,429127
586,425960,425498
587,428287,427836
588,427476,427027
589,428071,427614
590,433649,433199
591,429010,428560
592,434294,433868
593,428597,428118
594,429940,429486
595,429054,428605
596,430619,430155
597,430631,430198
598,429955,429520
599,429505,429043
600,430224,429776
601,431052,430623
602,434356,433940
603,432815,432355
604,435091,434647
605,432909,432454
606,435097,434642
607,378832,378337
608,379019,378545
609,378982,378523
610,433750,433292
611,432843,432374
612,435178,434701
613,432811,432347
614,440173,439681
615,442273,441822
616,433697,433206
617,434722,434265
618,380492,380031
619,380008,379534
620,382148,381677
621,382757,382292
622,381754,381315
623,379279,378827
624,382827,382377
625,382332,381818
626,389475,388964
627,381360,380880
628,389615,389158
629,383542,383068
630,382155,381691
631,384368,383901
632,381753,381270
633,382434,381970
634,383497,383035
635,384224,383792
636,384170,383694
637,383710,383244
638,383566,383092
639,391610,391141
640,391022,390534
641,386709,386229
642,384382,383900
643,384684,384217
644,385962,385481
645,385341,384886
646,385981,385512
647,386516,386041
648,385112,384624
649,387212,386734
650,386410,385965
651,387574,387093
652,393585,393144
653,388143,387651
654,389563,389105
655,388682,388206
656,389083,388605
657,387330,386867
658,386738,386264
659,335173,334692
660,332310,331832
661,332273,331819
662,388078,387604
663,388764,388299
664,390378,389924
665,392012,391544
666,389932,389457
667,391643,391181
668,389232,388768
669,394102,393623
670,335327,334844
671,335733,335270
672,334616,334150
673,341062,340598
674,332949,332436
675,336021,335546
676,337497,336977
677,347820,347358
678,335568,335113
679,339699,339246
680,343824,343299
681,335845,335386
682,337215,336757
683,336894,336406
684,338607,338145
685,337067,336602
686,338674,338218
687,338756,338277
688,338616,338151
689,339472,338988
690,338695,338230
691,350044,349578
692,341875,341380
693,340805,340315
694,348778,348271
695,344546,344055
696,341267,340795
697,340636,340164
698,341949,341458
699,341413,340971
700,342252,341804
701,342404,341930
702,343711,343229
703,343760,343294
704,343799,343325
705,347944,347468
706,348577,348074
707,349501,348993
708,349554,349081
709,350036,349557
710,349863,349375
711,347998,347521
712,344750,344278
713,346794,346339
714,344889,344413
715,349402,348931
716,345374,344894
717,345978,345525
718,351782,351308
719,346669,346162
720,1389897,337065
721,349436,348955
722,345251,344793
723,341984,341537
724,342819,342368
725,342016,341559
726,340810,340362
727,341556,341127
