frame_id,total_latency(μs),algorithm_latency(μs)
0,296482,293717
1,305591,305186
2,304994,304608
3,305705,305272
4,305458,305085
5,310107,309684
6,305634,305242
7,304869,304492
8,305783,305395
9,305423,305024
10,305291,304885
11,314332,313941
12,300700,300262
13,305652,305231
14,305653,305234
15,305225,304809
16,306829,306420
17,356771,356372
18,361135,360749
19,355249,354847
20,356457,356080
21,356339,355937
22,356072,355724
23,356396,355993
24,356252,355851
25,357538,357165
26,362573,362157
27,354240,353769
28,356586,356202
29,360651,360250
30,359047,358653
31,406348,405911
32,407387,406993
33,406933,406545
34,407795,407370
35,406692,406311
36,407945,407550
37,407581,407116
38,408454,408057
39,417776,417345
40,406989,406576
41,407449,407083
42,407310,406909
43,407213,406810
44,408466,407981
45,408273,407874
46,407912,407492
47,407172,406761
48,407395,406971
49,412352,411939
50,407023,406590
51,413512,413115
52,405748,405315
53,407047,406601
54,407009,406585
55,408196,407790
56,406872,406468
57,406991,406583
58,407001,406598
59,407173,406766
60,411677,411290
61,407587,407182
62,407465,407069
63,416563,416121
64,402427,401957
65,407107,406662
66,407764,407327
67,406787,406425
68,408046,407649
69,407642,407034
70,407232,406850
71,407532,407140
72,412726,412292
73,406845,406454
74,408445,408068
75,407291,406898
76,411307,410917
77,408526,408047
78,405297,404814
79,407839,407467
80,408179,407755
81,408033,407609
82,411489,411077
83,407519,407118
84,407582,407165
85,407443,406996
86,407598,407202
87,407871,407464
88,411627,411215
89,407351,406911
90,407726,407319
91,430185,429785
92,389786,389282
93,408205,407811
94,407491,407032
95,407715,407312
96,407523,407111
97,407823,407423
98,407211,406834
99,408199,407794
100,412568,412163
101,425488,425002
102,392735,392268
103,407230,406744
104,407334,406902
105,407526,407159
106,407930,407534
107,407487,407110
108,407307,406903
109,407169,406774
110,407563,407185
111,411946,411542
112,415052,414654
113,403629,403179
114,406648,406267
115,407260,406860
116,407420,407010
117,407256,406871
118,407259,406852
119,408400,408033
120,407390,406962
121,412103,411718
122,407744,407332
123,407323,406933
124,406982,406585
125,411459,411044
126,407247,406838
127,409454,409020
128,406512,406084
129,409142,408735
130,405571,405093
131,412473,412081
132,407597,407188
133,406894,406491
134,407340,406963
135,406896,406490
136,407453,407067
137,412589,412187
138,406675,406285
139,407348,406923
140,407378,406962
141,412296,411922
142,407266,406868
143,408179,407773
144,407854,407414
145,407295,406856
146,407530,407128
147,406952,406543
148,407500,407093
149,412521,412079
150,411695,411206
151,406860,406445
152,407416,406920
153,407655,407248
154,407589,407188
155,407301,406874
156,407781,407396
157,406854,406415
158,408120,407713
159,407983,407589
160,412707,412304
161,414965,414519
162,403635,403198
163,408199,407788
164,407236,406829
165,408534,408116
166,407181,406769
167,408029,407642
168,406955,406540
169,427626,427226
170,391990,391538
171,407858,407456
172,407366,406962
173,407866,407474
174,411204,410823
175,407299,406880
176,407125,406703
177,408355,407955
178,408067,407655
179,412378,411963
180,407739,407324
181,406735,406321
182,412129,411729
183,412675,412254
184,406822,406402
185,406667,406285
186,413347,412936
187,407618,407176
188,409368,408965
189,410771,410319
190,408491,408087
191,406647,406168
192,406965,406542
193,409055,408632
194,406612,406192
195,407444,407032
196,407270,406866
197,407907,407505
198,413942,413543
199,412574,412148
200,405298,404829
201,408860,408436
202,407852,407449
203,408120,407733
204,407159,406723
205,409664,409274
206,406825,406319
207,407145,406692
208,407132,406742
209,408970,408578
210,417848,417443
211,404794,404323
212,407853,407422
213,407635,407245
214,408548,408148
215,408065,407661
216,407825,407394
217,407239,406834
218,407722,407339
219,409039,408642
220,406875,406462
221,411824,411405
222,408683,408277
223,412731,412291
224,407736,407306
225,407382,406979
226,409460,409075
227,406052,405624
228,407832,407442
229,407322,406938
230,416709,416305
231,406898,406467
232,406838,406414
233,408006,407607
234,408054,407654
235,412069,411677
236,412807,412374
237,408945,408535
238,406798,406418
239,409116,408703
240,410741,410294
241,410257,409846
242,406968,406504
243,410871,410473
244,415655,415212
245,407262,406849
246,407923,407487
247,412274,411874
248,406774,406352
249,409324,408933
250,408051,407633
251,407171,406725
252,406761,406348
253,408975,408584
254,413772,413380
255,405859,405360
256,407659,407284
257,407959,407565
258,408450,408032
259,413024,412586
260,408266,407811
261,407486,407087
262,408220,407809
263,409996,409590
264,428461,428044
265,392704,392201
266,409118,408700
267,408870,408479
268,407803,407322
269,407781,407381
270,409612,409213
271,410978,410558
272,409967,409485
273,409181,408707
274,408837,408385
275,413796,413362
276,407580,407140
277,409623,409205
278,409495,409053
279,409516,409065
280,410365,409726
281,408807,408370
282,409780,409233
283,409318,408860
284,414050,413492
285,409272,408829
286,417355,416878
287,406861,406405
288,409776,409301
289,409252,408799
290,411705,411236
291,408276,407833
292,410728,410284
293,410194,409768
294,411503,411063
295,410850,410437
296,422186,421729
297,410832,410391
298,412724,412285
299,412291,411884
300,411196,410706
301,411498,411075
302,411810,411347
303,411642,411214
304,412673,412202
305,411064,410611
306,413272,412806
307,416828,416408
308,416637,416208
309,412708,412280
310,412900,412477
311,412228,411794
312,412822,412421
313,413536,413112
314,412681,412254
315,414093,413667
316,413372,412940
317,417732,417303
318,413942,413519
319,414343,413902
320,417733,417305
321,413629,413203
322,412727,412325
323,413864,413434
324,414129,413699
325,413060,412636
326,433436,432986
327,400191,399779
328,416560,416028
329,413074,412631
330,415026,414605
331,415657,415225
332,421431,420987
333,413049,412600
334,415077,414661
335,415939,415499
336,415872,415445
337,420610,420177
338,415815,415383
339,417369,416935
340,415871,415356
341,416362,415908
342,416764,416331
343,416414,415973
344,421803,421365
345,416354,415898
346,431550,431117
347,410058,409592
348,418740,418323
349,418751,418329
350,417493,416995
351,418727,418302
352,416938,416485
353,418019,417600
354,417249,416809
355,417620,417174
356,422071,421637
