frame_id,total_latency(μs),algorithm_latency(μs)
0,180392,163461
1,111623,111229
2,112107,111752
3,102182,101855
4,103726,103385
5,103250,102907
6,102884,102541
7,102423,102088
8,103156,102819
9,101763,101416
10,103105,102717
11,103561,103227
12,102480,102148
13,102695,102358
14,102723,102290
15,104806,104433
16,106507,106107
17,104011,103640
18,103612,103240
19,105173,104830
20,106921,106544
21,104953,104572
22,107179,106801
23,106993,106643
24,110702,110350
25,107608,107277
26,107957,107615
27,102354,101972
28,104106,103744
29,106500,106161
30,104700,104280
31,102348,102013
32,110422,110082
33,106251,105872
34,106514,106147
35,124389,124025
36,105957,105531
37,104796,104442
38,114711,114365
39,106805,106425
40,107000,106532
41,104651,104295
42,103350,103004
43,102271,101805
44,102724,102389
45,101613,101282
46,101475,101091
47,104786,104449
48,104289,103831
49,105387,105057
50,103671,103343
51,105132,104730
52,103249,102914
53,104460,104125
54,104214,103825
55,102132,101772
56,103319,102980
57,103626,103295
58,103145,102814
59,105913,105545
60,106155,105807
61,108365,108036
62,118093,117639
63,109528,109116
64,107191,106744
65,109829,109444
66,108775,108105
67,109303,108727
68,108202,107791
69,108061,107579
70,108858,108487
71,107662,107282
72,107016,106619
73,108846,108384
74,106088,105699
75,108901,108456
76,107132,106686
77,106770,106373
78,112201,111706
79,108132,107720
80,109301,108814
81,108296,107900
82,112559,111884
83,107582,107248
84,107996,107651
85,107192,106851
86,106502,106150
87,107339,106965
88,107837,107390
89,107809,107441
90,111112,110652
91,107459,107009
92,107431,107005
93,107990,107385
94,107917,107546
95,108197,107848
96,107774,107429
97,106530,106199
98,106767,106301
99,110654,110228
100,107832,107498
101,105796,105460
102,105004,104638
103,109376,108863
104,108252,107806
105,108288,107755
106,106447,106059
107,110746,110315
108,157702,157267
109,157010,156554
110,155908,155444
111,159971,159485
112,156510,156084
113,158129,157690
114,156663,156239
115,157877,157419
116,158876,158432
117,154272,153863
118,157131,156668
119,159171,158736
120,156529,156066
121,157675,156754
122,157339,156903
123,157617,157186
124,156894,156449
125,157167,156692
126,157433,156962
127,156555,156109
128,158445,157999
129,156716,156262
130,157353,156911
131,158350,157908
132,157439,156961
