frame_id,total_latency(μs),algorithm_latency(μs)
0,117010,108123
1,110155,109825
2,107113,106725
3,109112,108644
4,110360,110035
5,108898,108569
6,106336,105999
7,108665,108198
8,106533,106102
9,107139,106715
10,108231,107751
11,108570,108210
12,108395,107785
13,109454,109082
14,107942,107616
15,110704,110153
16,108048,107708
17,109100,108744
18,107514,107091
19,107238,106869
20,108308,107862
21,107193,106812
22,110470,110072
23,109849,109440
24,108998,108625
25,107176,106774
26,108955,108484
27,108731,108382
28,107656,107243
29,107283,106880
30,106270,105825
31,107237,106836
32,106344,105939
33,107240,106816
34,107984,107589
35,110065,109682
36,108086,107708
37,107951,107474
38,105718,105271
39,108150,107669
40,108883,108424
41,106996,106547
42,107486,107012
43,108829,108392
44,106481,106055
45,106630,106193
46,108603,108202
47,158438,157946
48,157926,157492
49,157181,156752
50,157353,156897
51,157919,157439
52,157321,156831
53,156712,156269
54,158598,158100
55,154603,154156
56,157990,157502
57,158547,158117
58,158709,158228
59,157310,156866
60,155810,155372
61,159426,158984
62,157176,156751
63,155701,155265
64,161206,160739
65,152370,151920
66,160168,159703
67,156003,155566
68,156364,155953
69,156651,156196
70,158566,158100
71,156298,155869
72,158944,158474
73,155805,155378
74,156382,155868
75,160335,159838
76,153824,153355
77,157874,157406
78,156585,156073
79,159389,158905
80,209333,208867
81,209302,208819
82,209896,209428
83,209286,208800
84,209861,209437
85,209189,208735
86,208307,207902
87,209653,209217
88,210728,210254
89,209513,209082
90,211229,210693
91,206842,206337
92,211607,211171
93,207246,206810
94,210824,210377
95,211953,211476
96,207422,206944
97,210522,210076
98,209282,208880
99,207026,206543
100,210551,210069
101,207997,207569
102,210732,210233
103,210770,210297
104,262654,262224
105,263168,262737
106,259301,258827
107,261627,261129
108,261719,261279
109,261543,261100
110,263028,262590
111,262676,262202
112,259852,259383
113,259389,258955
114,261174,260747
115,261333,260799
116,262018,261563
117,262016,261556
118,262763,262291
119,258957,258512
120,262446,262014
121,263521,263073
122,260734,260339
123,315372,314913
124,314624,314202
125,314386,313909
126,314916,314511
127,315503,315030
128,311941,311447
129,316068,315615
130,312176,311743
131,314627,314163
132,314972,314430
133,312958,312553
134,315261,314828
135,314586,314199
136,312772,312342
137,314748,314234
138,315103,314719
139,316201,315773
140,310586,310158
141,316945,316477
142,314728,314237
143,367020,366591
144,367065,366631
145,368993,368518
146,367470,367031
147,369695,369231
148,365886,365458
149,368366,367900
150,368038,367569
151,368773,368319
152,365316,364886
153,368047,367587
154,366914,366476
155,369486,369042
156,370241,369803
157,425456,425007
158,420120,419650
159,424087,423660
160,427163,426703
161,427332,426906
162,424614,424169
163,425541,425104
164,426166,425708
165,432022,431579
166,427571,427105
167,429902,429470
168,430867,430251
169,429430,429002
170,428999,428542
171,435555,435076
172,423509,423014
173,429691,429253
174,431992,431563
175,431181,430691
176,428163,427672
177,431281,430807
178,433273,432717
179,433866,433390
