frame_id,total_latency(μs),algorithm_latency(μs)
0,13354,126
1,614,40
2,411,86
3,380,31
4,417,54
5,657,83
6,877,103
7,544,46
8,413,77
9,383,62
10,440,36
11,386,52
12,692,79
13,499,41
14,371,42
15,419,78
16,596,65
17,827,91
18,592,34
19,699,58
20,382,58
21,376,58
22,396,46
23,860,56
24,372,47
25,410,65
26,543,40
27,579,61
28,602,175
29,59791,80
30,98436,107
31,99664,58
32,101943,158
33,98185,82
34,99871,86
35,103146,74
36,101643,68
37,106646,128
38,113194,85
39,79468,86
40,102101,82
41,95513,54
42,102150,63
43,101610,51
44,100056,79
45,97131,54
46,104200,78
47,99003,48
48,99652,49
49,100200,71
50,100016,92
51,99508,68
52,100274,53
53,102921,54
54,97005,63
55,103089,100
56,100831,68
57,95625,63
58,100749,124
59,103416,123
60,98884,82
61,102917,85
62,97137,129
63,100027,84
64,103003,54
65,97018,43
66,99396,68
67,104930,53
68,95654,65
69,102690,75
70,100166,73
71,99521,63
72,100109,121
73,101313,56
74,99387,106
75,99402,83
76,102776,94
77,96805,40
78,102772,44
79,100385,65
80,99404,59
81,100689,95
82,99747,103
83,104086,75
84,95720,74
85,103913,119
86,100641,90
87,96094,107
88,102543,125
89,99663,56
90,99921,118
91,100413,53
92,100536,73
93,98228,76
94,104352,84
95,96930,47
96,102508,75
97,101227,79
98,96338,98
99,102679,83
100,100164,103
101,99517,79
102,99798,60
103,99631,60
104,100673,84
105,102798,68
106,100654,79
107,96123,97
108,99970,68
109,100143,52
110,100195,78
111,102915,38
112,98107,59
113,111670,130
114,89783,50
115,66563,61
116,99959,93
117,100145,59
118,103127,86
119,98724,92
120,100919,76
121,103759,137
122,97233,97
123,99499,98
124,99013,54
125,100438,56
126,99456,61
127,100021,40
128,100282,67
129,100176,144
130,101103,64
131,98959,126
132,102227,42
133,100101,86
134,99568,61
135,103481,56
136,97336,44
137,103730,163
138,95938,70
139,100131,49
140,102953,95
141,98715,148
142,104627,80
143,96867,56
144,99523,66
145,100195,50
146,100151,205
147,101949,107
148,101074,33
149,100132,65
150,96276,50
151,101447,73
152,98383,115
153,105218,77
154,98902,71
155,104885,68
156,97251,195
157,103238,77
158,98207,113
159,99159,93
160,100575,86
161,95248,95
162,99888,99
163,103066,64
164,100924,147
165,99106,58
166,101425,112
167,99550,85
168,101666,113
169,98014,66
170,100827,122
171,98170,73
172,100034,137
173,99655,80
174,99874,78
175,104294,67
176,98996,143
177,102649,88
178,102918,502
179,99656,75
180,98638,73
181,100387,133
182,95188,68
183,100849,60
184,104089,73
185,99793,187
186,100865,157
187,97514,60
188,102205,86
189,101976,60
190,99595,96
191,100257,127
192,100338,71
193,95682,121
194,100897,110
195,100363,45
196,102394,200
197,100692,165
198,100338,47
199,105563,113
200,95199,69
201,100488,45
202,100153,71
203,95816,103
204,104002,75
205,102724,144
206,98882,152
207,98893,76
208,99597,60
209,99209,78
210,100238,66
211,104550,103
212,101126,124
213,98174,71
214,102702,60
215,98354,70
216,96569,77
217,100396,103
218,103382,85
219,98576,56
220,98423,79
221,100524,103
222,99971,136
223,99485,60
224,102521,80
225,102660,75
226,94098,62
227,101265,88
228,101335,70
229,102691,113
230,97771,133
231,99944,116
232,102926,93
233,66983,133
234,98340,66
235,101303,112
236,100554,90
237,99806,128
238,101496,150
239,100012,63
240,98671,63
241,99617,79
242,103264,52
243,97924,63
244,99842,74
245,101675,68
246,99524,54
247,100118,103
248,99309,113
249,102430,57
250,100391,58
251,100233,61
252,97606,93
253,102772,92
254,97912,160
255,103737,46
256,95969,110
257,102094,65
258,97756,140
259,102954,74
260,99712,111
261,1034936,121
262,637,49
263,985,95
264,476,104
265,388,42
266,420,62
267,359,31
268,422,99
