frame_id,total_latency(μs),algorithm_latency(μs)
0,11221,182
1,1067,350
2,2120,750
3,875,108
4,623,37
5,552,68
6,908,60
7,498,39
8,520,82
9,1072,106
10,1225,112
11,470,44
12,376,47
13,1007,253
14,73723,98
15,102412,67
16,97364,82
17,99898,111
18,105419,54
19,100782,65
20,96685,50
21,99904,44
22,102195,71
23,98201,65
24,100610,86
25,101628,50
26,97730,110
27,102108,52
28,99545,114
29,97063,109
30,106455,104
31,95587,99
32,99199,60
33,99591,41
34,101022,56
35,99248,136
36,104587,134
37,98055,96
38,99442,66
39,100859,54
40,99116,59
41,101107,125
42,102799,59
43,99766,96
44,99234,69
45,99436,49
46,102193,50
47,95413,73
48,104467,131
49,98180,65
50,100467,85
51,99921,57
52,99510,77
53,100363,132
54,102010,109
55,101388,56
56,96051,64
57,103681,63
58,69081,80
59,99054,151
60,97786,112
61,100462,87
62,100491,92
63,99062,77
64,101831,101
65,97152,61
66,100678,112
67,100434,67
68,101381,99
69,98244,67
70,104501,99
71,95466,56
72,99641,89
73,106081,97
74,96890,56
75,98058,68
76,102305,61
77,99692,63
78,104719,96
79,98051,72
80,102653,148
81,94789,41
82,102258,66
83,96746,84
84,102182,93
85,101288,67
86,101621,69
87,98805,101
88,101370,101
89,99419,49
90,104707,79
91,95104,90
92,99960,59
93,97477,81
94,100886,49
95,100473,77
96,103537,65
97,95799,85
98,102877,59
99,99908,99
100,99837,71
101,99918,86
102,100154,91
103,103772,113
104,96046,120
105,102920,68
106,100013,97
107,97191,50
108,103742,106
109,112821,55
110,83924,80
111,103378,115
112,99022,86
113,99658,115
114,100000,81
115,102752,108
116,97077,76
117,99869,75
118,100005,69
119,99875,87
120,102885,69
121,100626,133
122,97182,45
123,102100,62
124,99999,48
125,104159,188
126,96886,124
127,99374,200
128,102358,120
129,96702,50
130,103085,117
131,98761,78
132,103193,337
133,96375,41
134,101525,99
135,99868,89
136,100016,127
137,99799,97
138,100117,89
139,99883,103
140,99946,94
141,104348,85
142,95490,49
143,100035,47
144,102916,57
145,101230,131
146,95675,53
147,103149,135
148,96897,70
149,104064,97
150,97791,99
151,101102,159
152,100782,115
153,99869,106
154,99058,52
155,102817,62
156,100302,69
157,188935,140
158,24456,44
159,85706,61
160,97797,117
161,101287,56
162,101863,48
163,103400,99
164,96422,87
165,99830,64
166,100426,154
167,99683,99
168,100280,83
169,100240,60
170,100657,100
171,99906,135
172,101687,86
173,96822,49
174,102980,59
175,97292,54
176,104065,96
177,99253,49
178,99069,54
179,100320,131
180,99746,56
181,105178,129
182,98922,50
183,95956,65
184,104263,62
185,95501,68
186,101213,87
187,104517,70
188,97267,88
189,100874,54
190,97306,88
191,101829,94
192,102813,82
193,96764,68
194,99814,86
195,100631,116
196,102055,52
197,66618,75
198,100275,50
199,100445,105
200,99119,125
201,99931,53
202,99992,82
203,101456,56
204,98972,64
205,99469,70
206,100191,96
207,103895,73
208,99471,114
209,96611,78
210,99805,57
211,99861,66
212,103005,96
213,99975,122
214,99802,58
215,100208,69
216,100194,83
217,101863,60
218,98220,91
219,104089,111
220,98481,52
221,99024,66
222,103049,109
223,101106,99
224,98838,90
225,98829,119
226,102591,186
227,99722,105
228,98728,62
229,97720,58
230,102964,95
231,97083,81
232,100094,111
233,130207,158
234,72431,134
235,99987,114
236,96915,43
237,103662,143
238,99463,124
239,99841,80
240,99862,56
241,103893,115
242,97221,104
243,99397,68
244,99623,57
245,103502,47
246,99335,61
247,98088,81
248,98989,69
249,103845,129
250,99745,62
251,97466,108
252,100260,84
