frame_id,total_latency(μs),algorithm_latency(μs)
0,10347,82
1,607,70
2,468,63
3,572,112
4,636,68
5,631,69
6,457,75
7,389,36
8,418,81
9,654,98
10,82606,71
11,96884,127
12,102368,80
13,98518,57
14,104314,108
15,98709,109
16,100071,96
17,103779,276
18,99423,79
19,100947,184
20,99184,119
21,99898,96
22,97543,108
23,102384,120
24,104197,149
25,93604,103
26,104319,84
27,98078,194
28,100423,134
29,102939,381
30,100449,157
31,98916,196
32,99691,232
33,103902,148
34,99536,165
35,94629,102
36,105186,159
37,99778,221
38,99117,83
39,105306,68
40,94232,55
41,100394,76
42,103400,177
43,96644,124
44,105763,153
45,96565,77
46,99064,104
47,103445,92
48,99611,64
49,98682,188
50,100852,143
51,100261,64
52,99799,71
53,100086,74
54,107361,177
55,98840,90
56,95616,178
57,106534,133
58,92982,81
59,99710,75
60,101688,126
61,99207,57
62,101726,116
63,102779,84
64,98954,164
65,103000,160
66,94575,57
67,103033,56
68,99697,97
69,102045,65
70,99430,119
71,100344,57
72,102451,109
73,96286,91
74,104494,57
75,100826,93
76,100744,58
77,101142,65
78,99710,193
79,98798,98
80,99093,96
81,98725,150
82,99857,106
83,102288,90
84,102306,64
85,96613,90
86,66240,77
87,100431,99
88,99987,62
89,105169,109
90,97610,49
91,99891,76
92,101473,65
93,98166,46
94,99878,47
95,100583,100
96,103588,116
97,99558,53
98,98985,88
99,100265,72
100,102785,56
101,100565,73
102,96310,103
103,104745,113
104,95409,75
105,102975,41
106,102561,92
107,98723,151
108,98315,75
109,102675,102
110,100826,73
111,99525,63
112,100396,50
113,98864,66
114,102537,195
115,99258,61
116,102826,73
117,98890,81
118,98555,71
119,99790,175
120,101415,129
121,101076,62
122,97442,59
123,104539,58
124,100183,91
125,97538,81
126,99524,74
127,102730,121
128,97267,89
129,101633,72
130,103651,56
131,100188,89
132,97667,62
133,102551,106
134,101247,118
135,98316,59
136,102032,85
137,97923,71
138,100127,102
139,100890,52
140,103154,69
141,95944,95
142,103861,75
143,99540,164
144,99347,48
145,102764,104
146,97004,95
147,100009,96
148,99952,69
149,100109,62
150,102657,60
151,101347,62
152,97147,109
153,104533,108
154,96911,105
155,99779,90
156,103540,108
157,96481,60
158,103218,109
159,99819,113
160,103513,87
161,96608,82
162,100293,74
163,104829,72
164,94864,70
165,100049,82
166,101472,72
167,102194,108
168,99121,83
169,102743,92
170,65187,107
171,98095,125
172,102903,72
173,100635,111
174,103636,152
175,95800,99
176,109354,118
177,91317,96
178,100503,77
179,102018,62
180,100476,73
181,101397,85
182,100704,88
183,97592,76
184,100665,70
185,99068,54
186,104514,147
187,96332,82
188,102103,62
189,100541,52
190,98152,61
191,100900,48
192,100951,66
193,99714,112
194,102069,84
195,99905,80
196,100095,55
197,99941,44
198,99961,118
199,102994,69
200,100038,49
201,99915,74
202,100002,52
203,102224,89
204,96634,115
205,106546,72
206,98145,51
207,99410,78
208,96339,43
209,103785,77
210,96745,65
211,101968,75
212,104411,39
213,101405,73
214,99073,77
215,99004,61
216,97568,77
217,100005,104
218,102611,88
219,98697,46
220,101389,85
221,99907,183
222,104002,63
223,97910,50
224,99654,121
225,103849,91
226,98100,76
227,102566,85
228,96872,69
229,102296,51
230,100640,45
231,97022,78
232,103044,57
233,99084,80
234,100672,48
235,101129,90
236,99034,60
237,100583,106
238,98280,100
239,104459,78
240,98659,108
241,100892,78
242,101914,96
243,97860,52
244,101668,95
245,98558,104
246,99844,103
247,102879,81
248,97624,81
249,102132,82
250,100565,88
251,99415,112
252,101209,104
253,193374,133
254,5145,54
255,69951,41
256,98728,58
257,101367,86
258,101370,50
259,98902,77
260,99031,58
261,100270,55
262,102894,100
263,97698,50
264,103111,37
265,102343,88
266,96672,52
267,98449,80
268,102100,72
269,103484,92
270,96085,97
271,100539,137
272,99941,107
273,101911,62
274,102187,70
275,100725,49
276,97435,46
277,100446,64
278,103624,61
279,96145,69
280,103294,66
281,99700,52
282,101286,51
283,99739,54
284,97928,41
285,104378,81
286,96019,65
287,102823,180
288,99565,80
289,98591,82
290,104900,54
291,99072,81
292,100848,50
293,97582,54
294,102224,52
295,100079,87
296,100101,58
297,100108,81
298,102867,110
299,99968,131
300,102419,61
301,97327,113
302,102007,156
303,96633,102
304,101461,117
305,99646,71
306,102836,52
307,96836,99
308,102973,75
309,97549,56
310,102737,87
311,102821,83
312,99666,75
313,97148,109
314,103296,129
315,96891,88
316,99630,80
317,103248,81
318,99353,53
319,102208,79
320,98007,92
321,103236,78
322,101032,90
323,100803,125
324,98197,115
325,99695,78
326,99629,72
327,99906,57
328,103799,115
329,110598,47
330,88636,48
331,96831,105
332,100656,67
333,103201,116
334,99344,106
335,103013,78
336,96024,76
337,103409,59
338,64772,100
339,100737,89
340,101209,54
341,101954,61
342,97798,49
343,100344,89
344,101914,64
345,99427,68
346,101508,112
347,101176,67
348,99184,85
349,99757,84
350,100260,145
351,106633,52
352,96748,71
353,96499,102
354,101031,109
355,99206,129
356,102561,80
357,102749,49
358,105025,58
359,95522,102
360,97787,79
361,101111,56
362,101240,41
363,102468,61
364,98244,75
365,102303,72
366,101066,101
367,95595,80
368,103166,42
369,100457,61
370,99457,60
371,104372,112
372,98225,57
373,104818,57
374,96084,345
375,96974,113
376,103587,109
377,96669,80
378,101656,157
379,100766,104
380,102660,43
381,96803,134
382,100877,108
383,101414,51
384,100369,57
385,101853,39
386,100916,60
387,96838,91
388,106159,55
389,93661,108
390,100099,114
391,103298,43
392,98832,60
393,102456,34
394,100244,43
395,101426,59
396,98028,96
397,98316,102
398,101056,62
399,100429,64
400,102364,49
401,101635,93
402,98925,64
403,97870,95
404,103390,71
405,97995,56
406,101309,64
407,101090,72
408,100497,90
409,99654,77
410,102692,59
411,97490,59
412,104921,62
413,97054,56
414,98121,75
415,105660,69
416,95115,69
417,100384,89
418,101320,82
419,101233,49
420,101374,57
421,100204,45
422,63523,81
423,104320,92
424,99598,99
425,98691,94
426,100100,75
427,101310,145
428,103604,60
429,96798,140
430,99321,104
431,104248,57
432,99829,131
433,100680,87
434,96613,76
435,102090,85
436,99104,72
437,102500,122
438,98926,71
439,100405,74
440,99686,109
441,99813,80
442,99953,86
443,103303,99
444,101196,106
445,97419,57
446,102035,66
447,101662,88
448,99992,69
449,97959,47
