frame_id,total_latency(μs),algorithm_latency(μs)
0,392990,384046
1,407154,406762
2,406108,405716
3,407691,407258
4,407173,406698
5,407913,407494
6,407983,407571
7,406708,406331
8,419556,419150
9,406149,405669
10,407793,407383
11,407333,406955
12,407143,406744
13,408561,408158
14,407347,406986
15,408824,408461
16,406780,406379
17,408227,407846
18,412831,412440
19,405627,405115
20,416130,415696
21,402962,402491
22,406978,406551
23,407292,406898
24,408383,407942
25,406679,406257
26,406726,406306
27,407633,407243
28,408222,407781
29,411721,411241
30,406633,406139
31,407723,407309
32,407369,406939
33,410720,410271
34,406778,406371
35,406976,406579
36,407445,407014
37,409136,408663
38,406911,406502
39,407271,406841
40,407715,407289
41,412846,412454
42,406656,406266
43,407729,407270
44,407445,407016
45,411598,411206
46,406765,406341
47,406948,406525
48,407732,407338
49,407572,407192
50,407941,407527
51,412120,411750
52,407236,406807
53,408195,407803
54,407426,406960
55,407088,406642
56,407875,407450
57,412389,411921
58,406700,406222
59,409208,408802
60,405563,405091
61,412606,412211
62,408003,407562
63,407403,406954
64,407950,407529
65,407825,407423
66,407646,407215
67,407207,406802
68,408347,407952
69,416246,415831
70,402485,402027
71,411812,411395
72,407192,406803
73,407976,407560
74,407559,407105
75,407357,406929
76,407905,407507
77,407091,406687
78,407274,406883
79,407591,407189
80,412255,411842
81,406358,405895
82,411151,410758
83,407169,406762
84,407215,406798
85,407633,407211
86,408744,408236
87,405543,405045
88,407827,407434
89,408353,407910
90,412382,411986
91,407213,406798
92,407191,406759
93,406888,406488
94,411617,411204
95,407061,406656
96,408792,408386
97,407847,407420
98,408814,408409
99,405420,404927
100,413086,412662
101,407111,406687
102,407450,407028
103,406777,406331
104,407225,406812
105,407483,407083
106,413151,412752
107,406125,405667
108,407429,407031
109,407181,406743
110,411536,411134
111,408217,407804
112,409360,408942
113,406173,405626
114,406981,406557
115,407292,406900
116,407216,406810
117,408519,408121
118,415605,415194
119,425667,425245
120,389038,388542
121,407651,407253
122,407729,407343
123,407601,407198
124,407508,407065
125,407317,406925
126,407689,407266
127,407529,407119
128,407885,407506
129,412964,412573
130,407193,406779
131,411334,410915
132,408232,407822
133,407702,407305
134,407808,407414
135,407144,406749
136,407953,407534
137,407813,407393
138,407370,406961
139,412101,411718
140,407070,406655
141,408608,408215
142,407403,406995
143,410836,410424
144,407664,407225
145,406541,406059
146,408244,407845
147,407976,407571
148,413210,412813
149,406432,405936
150,407570,407169
